,Taxa,hits_score,hits_pval,Control,Disease,abun_pval,abun_fdr
19,Roseburia,0.11111111111111112,0.011,0.050140542129353295,0.0642498027140904,0.5453496680111236,0.9915448509293155
18,Phascolarctobacterium,0.11111111111111112,0.014,0.00268263450406722,0.01130369319132946,0.17361733442494354,0.5787244480831452
17,Clostridium_XVIII,0.11111111111111112,0.016,0.0038955099324419805,0.0031331036397922196,0.8798291600118298,1.0
16,Acinetobacter,0.11111111111111112,0.017,0.0,0.0,1.0,1.0
15,Akkermansia,0.11111111111111112,0.017,0.01652373834340947,0.027492313070040332,0.7913367801006604,1.0
14,Faecalibacterium,0.11111111111111112,0.017,0.08068462466454616,0.09149273619702171,1.0,1.0
13,Lachnospiracea_incertae_sedis,0.11111111111111112,0.018,0.004859556432488399,0.004434347457389571,0.7337299956962472,1.0
12,Parabacteroides,0.11111111111111112,0.02,0.020184208801253312,0.03190635958470117,0.5453496680111236,0.9915448509293155
11,Alistipes,0.11111111111111112,0.021,0.038664478180080966,0.0340190565918462,0.5967012167293563,0.9945020278822605
10,Ruminococcus,2.2844095156896213e-19,0.987,0.018972362626718118,0.022924791149409318,0.8205958397554409,1.0
9,Clostridium_IV,1.4277559473060133e-20,0.989,0.01659490368846526,0.0054911662367861,0.40567889528505297,0.9015086561890066
8,Gemmiger,2.8555118946120266e-20,0.99,0.00592697535841566,0.0065126498304779,0.9097218891455553,1.0
7,Anaerostipes,5.711023789224053e-20,0.991,0.00290729739583098,0.006991366471080461,0.0493661947519327,0.34821202399164064
6,Oscillibacter,-2.8555118946120266e-20,0.999,0.013730025641147201,0.00647172532123038,0.06964240479832813,0.34821202399164064
5,Coprococcus,0.0,1.0,0.012476295421331189,0.0033139061333168204,0.3074894566186813,0.8785413046248038
4,Dialister,0.0,1.0,0.018687647871611878,0.007922945714598681,0.15092695006671628,0.5787244480831452
3,Clostridium_XlVa,-2.8555118946120266e-20,1.0,0.010116074426566252,0.01914990630944138,0.0493661947519327,0.34821202399164064
2,Blautia,0.0,1.0,0.013362642571458739,0.023264331516496966,0.06964240479832813,0.34821202399164064
1,Prevotella,0.0,1.0,0.01661882907352344,0.0015186331134896499,0.3643461266335529,0.9015086561890066
0,Bacteroides,0.0,1.0,0.2932695367114181,0.2845715568847178,0.9397429895770734,1.0
