#OTU ID	Bacteroides	Faecalibacterium	Prevotella	Roseburia	Parabacteroides	Alistipes	Blautia	Akkermansia	Ruminococcus	Oscillibacter	Clostridium_XlVa	Gemmiger	Dialister	Clostridium_IV	Lachnospiracea_incertae_sedis	Clostridium_XVIII	Coprococcus	Phascolarctobacterium	Anaerostipes	Acinetobacter
Bacteroides	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Faecalibacterium	1.0	1.0	1.0	1.0	1.0	1.0	0.9271752564344615	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07915570420666151
Prevotella	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06414771017071552	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Roseburia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06512304947318648	0.5613753374129387	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.08466663034130506
Parabacteroides	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6652747268897868	1.0	1.0	1.0	1.0	1.0	0.06477718418450251
Alistipes	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06902831822897004	1.0	1.0	1.0	0.04336002271340178
Blautia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7880016579220988	1.0	1.0	1.0	1.0	1.0
Akkermansia	1.0	1.0	1.0	0.05765420154356238	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0712929268091601	1.0	0.09690256806861663
Ruminococcus	1.0	1.0	1.0	0.632686632843193	1.0	1.0	0.8159511636999495	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Oscillibacter	1.0	1.0	0.009594194716845306	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Clostridium_XlVa	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6319593946893183	1.0	1.0	1.0	1.0	1.0	1.0	0.6505510571322057	1.0	1.0	1.0	1.0
Gemmiger	1.0	0.8729975337516709	0.7784409588415855	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.774870373064733	1.0	1.0	1.0	1.0	1.0	1.0
Dialister	1.0	1.0	1.0	1.0	1.0	1.0	0.5729573218625579	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Clostridium_IV	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Lachnospiracea_incertae_sedis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07128839118740915
Clostridium_XVIII	1.0	1.0	1.0	1.0	1.0	0.05473212912698011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.32371666163952273	1.0
Coprococcus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Phascolarctobacterium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.034385052054272114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Anaerostipes	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5804664643824053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Acinetobacter	1.0	0.04901128930910925	0.9159874127380596	0.03678134478456929	0.05163761225490604	0.08127610931624296	0.4606075565927997	0.10184537581141728	1.0	1.0	1.0	1.0	1.0	1.0	0.07420671212786711	1.0	0.7491097998874021	1.0	1.0	1.0
