,Taxa,hits_score,hits_pval,Control,Disease,abun_pval,abun_fdr
19,Parabacteroides,0.1666666666666667,0.001,0.020184208801253312,0.03190635958470117,0.5453496680111236,0.9915448509293155
18,Prevotella,0.1666666666666667,0.001,0.01661882907352344,0.0015186331134896499,0.3643461266335529,0.9015086561890066
17,Bacteroides,0.1666666666666667,0.002,0.2932695367114181,0.2845715568847178,0.9397429895770734,1.0
16,Anaerostipes,0.1666666666666667,0.003,0.00290729739583098,0.006991366471080461,0.0493661947519327,0.34821202399164064
15,Clostridium_XVIII,0.1666666666666667,0.003,0.0038955099324419805,0.0031331036397922196,0.8798291600118298,1.0
14,Lachnospiracea_incertae_sedis,0.1666666666666667,0.004,0.004859556432488399,0.004434347457389571,0.7337299956962472,1.0
13,Ruminococcus,3.1475461933113856e-19,0.955,0.018972362626718118,0.022924791149409318,0.8205958397554409,1.0
12,Clostridium_XlVa,6.295092386622771e-19,0.968,0.010116074426566252,0.01914990630944138,0.0493661947519327,0.34821202399164064
11,Blautia,6.295092386622771e-19,0.973,0.013362642571458739,0.023264331516496966,0.06964240479832813,0.34821202399164064
10,Gemmiger,1.2590184773245542e-18,0.978,0.00592697535841566,0.0065126498304779,0.9097218891455553,1.0
9,Oscillibacter,-3.1475461933113856e-19,0.998,0.013730025641147201,0.00647172532123038,0.06964240479832813,0.34821202399164064
8,Akkermansia,-3.1475461933113856e-19,0.998,0.01652373834340947,0.027492313070040332,0.7913367801006604,1.0
7,Phascolarctobacterium,-7.868865483278464e-20,0.999,0.00268263450406722,0.01130369319132946,0.17361733442494354,0.5787244480831452
6,Roseburia,-6.295092386622771e-19,0.999,0.050140542129353295,0.0642498027140904,0.5453496680111236,0.9915448509293155
5,Acinetobacter,-4.904823692057595e-17,1.0,0.0,0.0,1.0,1.0
4,Coprococcus,-4.904823692057595e-17,1.0,0.012476295421331189,0.0033139061333168204,0.3074894566186813,0.8785413046248038
3,Clostridium_IV,-1.2590184773245542e-18,1.0,0.01659490368846526,0.0054911662367861,0.40567889528505297,0.9015086561890066
2,Dialister,-4.904823692057595e-17,1.0,0.018687647871611878,0.007922945714598681,0.15092695006671628,0.5787244480831452
1,Alistipes,-4.904823692057595e-17,1.0,0.038664478180080966,0.0340190565918462,0.5967012167293563,0.9945020278822605
0,Faecalibacterium,-4.904823692057595e-17,1.0,0.08068462466454616,0.09149273619702171,1.0,1.0
