#OTU	Bacteroides	Faecalibacterium	Prevotella	Roseburia	Parabacteroides	Alistipes	Blautia	Akkermansia	Ruminococcus	Oscillibacter	Clostridium_XlVa	Gemmiger	Dialister	Clostridium_IV	Lachnospiracea_incertae_sedis	Clostridium_XVIII	Coprococcus	Phascolarctobacterium	Anaerostipes	Acinetobacter
Bacteroides	1.0	0.3815500378534422	-0.5293205227698634	0.3474498400683874	0.8866825778798785	-0.33708568359627183	0.6170159928493916	-0.28262232090779016	0.4871070462825454	0.10696834317728904	0.21910818615589206	-0.1336359667424653	0.2167493031911673	-0.4434012998985564	0.8309345388398115	-0.07588237268867186	-0.20769062371944272	-0.44827537562879527	0.7293346969177437	-0.09299795816015984
Faecalibacterium	0.3815500378534422	1.0	0.1271963993532904	0.6094259296910309	0.18039712998582902	0.21622907104117567	0.22110002700242828	-0.4189375314618303	0.6900064089465172	-0.0020490495528119415	0.34705813065604935	-0.38052180301358757	-0.027361887266805558	-0.15533753078648915	0.30808090490523476	-0.38185351612636287	0.03376894850504409	-0.2532529203415816	-0.2027782029601239	-0.3087792218686435
Prevotella	-0.5293205227698634	0.1271963993532904	1.0	0.05609697344925461	-0.8448022734937861	0.004538769415849627	0.019716382112359793	-0.17244155025556374	-0.11057079794995087	-0.21370709442915542	0.03720910648963313	-0.10455061048500772	0.1527747428243169	0.18785403209021234	-0.6926388906047478	-0.38083340796646964	0.14147906486908463	0.15303845155878748	-0.6827116950754706	0.07935628823831925
Roseburia	0.3474498400683874	0.6094259296910309	0.056096973449254614	0.9999999999999999	0.13458920528697305	-0.2919784082079786	0.1407501746417471	-0.5258013624348685	0.7711646317893202	-0.20162016045725129	0.6697916156543627	0.007621849796528849	0.11037809701696767	-0.6651684889252798	0.2857098925126873	0.1253658644249667	-0.07319026059945669	-0.047408947248140404	-0.25907047329975547	-0.10350855778285106
Parabacteroides	0.8866825778798786	0.18039712998582902	-0.8448022734937861	0.13458920528697305	1.0	-0.12014821858354355	0.26630906361148327	0.01615830381380096	0.35774583671794336	0.15257262011983538	0.09410534998689801	-0.09068485143419022	0.12858338997758828	-0.28495384857149764	0.8441550694652777	0.1337238091124449	-0.1681035910523888	-0.4206494209064582	0.8028218077275622	-0.04602146254001453
Alistipes	-0.33708568359627183	0.21622907104117567	0.004538769415849627	-0.2919784082079786	-0.12014821858354358	0.9999999999999999	-0.547346220619797	0.41113067005082965	-0.02145500917504997	-0.1820621069003545	-0.39594187283805504	-0.3907495951008373	-0.3553632084635471	0.4116491401333502	-0.14884374644819798	-0.21432838393203424	0.3903013389103389	0.16271722262432775	-0.12303153573852015	-0.22053831395771303
Blautia	0.6170159928493916	0.2211000270024283	0.019716382112359793	0.14075017464174708	0.26630906361148327	-0.5473462206197969	1.0	-0.6501651836953919	0.05515869060876079	0.3326096217738349	0.06617862440370831	0.1496307710245055	-0.046071684718467364	-0.06351695067672797	0.39334207915680364	-0.2783437535054692	-0.07647959033379889	0.056460310765739805	0.41464089727959474	-0.21335370526682887
Akkermansia	-0.28262232090779016	-0.4189375314618303	-0.17244155025556374	-0.5258013624348685	0.01615830381380096	0.4111306700508297	-0.6501651836953918	1.0	-0.46330276468044806	-0.20819011171394347	-0.38981505770371055	-0.4215976759365335	0.2751316666079169	0.3480501033955202	-0.018435195263846505	-0.056645860580486096	-0.18847915192085501	-0.3309765722436668	0.1657980964630168	0.16152068794665156
Ruminococcus	0.4871070462825454	0.6900064089465172	-0.11057079794995087	0.77116463178932	0.35774583671794336	-0.02145500917504997	0.05515869060876079	-0.46330276468044806	1.0	-0.3723018643126558	0.344513497911598	-0.1405903692389444	0.05169850745880057	-0.5932027244982601	0.3222621528743559	0.07475608054357684	0.231019044302968	-0.23938761952243476	-0.13083744015274396	-0.0993854187982231
Oscillibacter	0.10696834317728902	-0.002049049552811941	-0.21370709442915542	-0.20162016045725129	0.15257262011983536	-0.1820621069003545	0.3326096217738349	-0.20819011171394347	-0.3723018643126558	1.0	0.20791172564640378	0.4539501016241275	-0.36906622047860016	0.48638328441461043	0.11890916581845448	0.10303338775882398	-0.2786893953684159	0.22202551859404873	0.20353315478375078	-0.15121952338667582
Clostridium_XlVa	0.21910818615589206	0.3470581306560494	0.03720910648963313	0.6697916156543627	0.094105349986898	-0.39594187283805504	0.06617862440370831	-0.3898150577037105	0.344513497911598	0.20791172564640378	1.0	0.10997284547619596	0.3966395929239247	-0.5207014166419159	-0.016814450773307413	0.0443571343441925	-0.6414126756340066	-0.00029937193703991733	-0.3297817278477734	0.08479311393564923
Gemmiger	-0.1336359667424653	-0.3805218030135876	-0.10455061048500772	0.007621849796529025	-0.09068485143419022	-0.39074959510083734	0.14963077102450562	-0.4215976759365335	-0.1405903692389444	0.4539501016241275	0.10997284547619596	1.0	-0.42602137293020126	-0.04013576190195666	-0.14262081612368038	0.7425511535021112	0.20608175495810707	0.5847714239391422	-0.014194275811177302	-0.09602651258016595
Dialister	0.2167493031911673	-0.027361887266805558	0.1527747428243169	0.11037809701696769	0.12858338997758828	-0.3553632084635471	-0.04607168471846737	0.2751316666079169	0.05169850745880057	-0.36906622047860016	0.3966395929239247	-0.42602137293020126	1.0	-0.4424819528997787	-0.0706848123649175	-0.3096381461884548	-0.6834462890594801	-0.5189125820235019	-0.07562886712746703	0.40549284273374375
Clostridium_IV	-0.4434012998985564	-0.15533753078648915	0.18785403209021234	-0.6651684889252797	-0.2849538485714976	0.4116491401333502	-0.06351695067672797	0.3480501033955202	-0.5932027244982601	0.48638328441461043	-0.520701416641916	-0.04013576190195666	-0.44248195289977865	1.0	-0.25439780431762926	-0.2579958096810788	0.1939130580787214	0.15546240763240132	-0.05077517978726487	-0.08972389487246443
Lachnospiracea_incertae_sedis	0.8309345388398115	0.30808090490523476	-0.6926388906047478	0.2857098925126873	0.8441550694652777	-0.14884374644819798	0.39334207915680364	-0.0184351952638465	0.3222621528743559	0.11890916581845448	-0.016814450773307413	-0.14262081612368038	-0.0706848123649175	-0.25439780431762915	1.0	0.09505357747532038	-0.06898861206948145	-0.37918206152720446	0.8055036165046521	-0.28272249639697417
Clostridium_XVIII	-0.07588237268867185	-0.3818535161263628	-0.38083340796646964	0.12536586442496667	0.1337238091124449	-0.2143283839320342	-0.27834375350546925	-0.056645860580486096	0.07475608054357691	0.10303338775882398	0.0443571343441925	0.7425511535021112	-0.30963814618845475	-0.2579958096810788	0.09505357747532037	1.0	0.234721485652518	0.30503832287556787	0.01674811962895156	-0.11917704902978811
Coprococcus	-0.20769062371944272	0.03376894850504408	0.14147906486908463	-0.07319026059945669	-0.1681035910523888	0.39030133891033886	-0.07647959033379889	-0.18847915192085501	0.23101904430296796	-0.2786893953684159	-0.6414126756340066	0.20608175495810707	-0.6834462890594801	0.1939130580787214	-0.06898861206948145	0.234721485652518	1.0	0.3673751601461053	-0.08987536341867598	-0.412404694604325
Phascolarctobacterium	-0.4482753756287952	-0.2532529203415816	0.15303845155878748	-0.0474089472481404	-0.4206494209064582	0.16271722262432775	0.056460310765739805	-0.3309765722436668	-0.23938761952243479	0.22202551859404862	-0.0002993719370399172	0.5847714239391422	-0.5189125820235019	0.15546240763240132	-0.37918206152720446	0.30503832287556787	0.3673751601461053	1.0	-0.23493392978230077	-0.137925102033906
Anaerostipes	0.7293346969177437	-0.20277820296012386	-0.6827116950754706	-0.25907047329975547	0.8028218077275622	-0.12303153573852015	0.4146408972795947	0.16579809646301683	-0.13083744015274396	0.20353315478375078	-0.3297817278477734	-0.014194275811177302	-0.07562886712746703	-0.05077517978726487	0.805503616504652	0.016748119628951563	-0.089875363418676	-0.23493392978230077	1.0	-0.13243223158276396
Acinetobacter	-0.09299795816015982	-0.3087792218686435	0.07935628823831925	-0.10350855778285106	-0.04602146254001453	-0.22053831395771317	-0.21335370526682873	0.1615206879466516	-0.0993854187982231	-0.15121952338667582	0.08479311393564923	-0.09602651258016595	0.40549284273374375	-0.08972389487246443	-0.28272249639697417	-0.1191770490297881	-0.41240469460432505	-0.137925102033906	-0.13243223158276396	1.0
