#OTU	Bacteroides	Faecalibacterium	Prevotella	Roseburia	Parabacteroides	Alistipes	Blautia	Akkermansia	Ruminococcus	Oscillibacter	Clostridium_XlVa	Gemmiger	Dialister	Clostridium_IV	Lachnospiracea_incertae_sedis	Clostridium_XVIII	Coprococcus	Phascolarctobacterium	Anaerostipes	Acinetobacter
Bacteroides	1.0	0.2082082082082082	0.12012012012012012	0.1961961961961962	0.009009009009009009	0.13713713713713713	0.05405405405405406	0.3353353353353353	0.08108108108108109	0.43043043043043044	0.4024024024024024	0.3993993993993994	0.18218218218218218	0.13813813813813813	0.006006006006006006	0.45145145145145144	0.33133133133133136	0.12612612612612611	0.018018018018018018	0.2722722722722723
Faecalibacterium	0.2082082082082082	1.0	0.2222222222222222	0.043043043043043044	0.4164164164164164	0.35435435435435436	0.4074074074074074	0.17017017017017017	0.025025025025025027	0.3613613613613614	0.3433433433433433	0.12012012012012012	0.6176176176176176	0.47347347347347346	0.2722722722722723	0.12712712712712712	0.4004004004004004	0.27627627627627627	0.24824824824824826	0.004004004004004004
Prevotella	0.12012012012012012	0.2222222222222222	1.0	0.29429429429429427	0.002002002002002002	0.37737737737737737	0.3133133133133133	0.38038038038038036	0.5115115115115115	0.42742742742742745	0.24324324324324326	0.5045045045045045	0.24624624624624625	0.22022022022022023	0.025025025025025027	0.1881881881881882	0.2652652652652653	0.23323323323323322	0.02702702702702703	0.09309309309309309
Roseburia	0.1961961961961962	0.043043043043043044	0.29429429429429427	1.0	0.40540540540540543	0.17217217217217218	0.46546546546546547	0.08208208208208208	0.005005005005005005	0.2122122122122122	0.03403403403403404	0.5005005005005005	0.24624624624624625	0.024024024024024024	0.25325325325325326	0.3683683683683684	0.48848848848848847	0.48148148148148145	0.2072072072072072	0.1931931931931932
Parabacteroides	0.009009009009009009	0.4164164164164164	0.002002002002002002	0.40540540540540543	1.0	0.32732732732732733	0.3113113113113113	0.34934934934934936	0.2122122122122122	0.45545545545545546	0.5955955955955956	0.44144144144144143	0.21521521521521522	0.3153153153153153	0.01701701701701702	0.32932932932932935	0.3563563563563564	0.12512512512512514	0.007007007007007007	0.34534534534534533
Alistipes	0.13713713713713713	0.35435435435435436	0.37737737737737737	0.17217217217217218	0.32732732732732733	1.0	0.02902902902902903	0.05405405405405406	0.41541541541541543	0.25125125125125125	0.07307307307307308	0.12212212212212212	0.24124124124124124	0.07507507507507508	0.33233233233233234	0.2682682682682683	0.11811811811811812	0.27427427427427425	0.3663663663663664	0.07007007007007007
Blautia	0.05405405405405406	0.4074074074074074	0.3133133133133133	0.46546546546546547	0.3113113113113113	0.02902902902902903	1.0	0.022022022022022022	0.5465465465465466	0.2602602602602603	0.6356356356356356	0.34634634634634637	0.6086086086086087	0.5645645645645646	0.16916916916916916	0.2222222222222222	0.46546546546546547	0.34534534534534533	0.14514514514514515	0.04904904904904905
Akkermansia	0.3353353353353353	0.17017017017017017	0.38038038038038036	0.08208208208208208	0.34934934934934936	0.05405405405405406	0.022022022022022022	1.0	0.14014014014014015	0.38038038038038036	0.22922922922922923	0.17017017017017017	0.14914914914914915	0.11611611611611612	0.6126126126126126	0.5675675675675675	0.42842842842842843	0.24424424424424424	0.23023023023023023	0.03303303303303303
Ruminococcus	0.08108108108108109	0.025025025025025027	0.5115115115115115	0.005005005005005005	0.2122122122122122	0.41541541541541543	0.5465465465465466	0.14014014014014015	1.0	0.1011011011011011	0.2872872872872873	0.3353353353353353	0.2912912912912913	0.062062062062062065	0.24324324324324326	0.44344344344344344	0.22122122122122123	0.28128128128128127	0.32932932932932935	0.18518518518518517
Oscillibacter	0.43043043043043044	0.3613613613613614	0.42742742742742745	0.2122122122122122	0.45545545545545546	0.25125125125125125	0.2602602602602603	0.38038038038038036	0.1011011011011011	1.0	0.45045045045045046	0.08808808808808809	0.24424424424424424	0.03903903903903904	0.44544544544544545	0.3983983983983984	0.24724724724724725	0.20520520520520522	0.3013013013013013	0.07807807807807808
Clostridium_XlVa	0.4024024024024024	0.3433433433433433	0.24324324324324326	0.03403403403403404	0.5955955955955956	0.07307307307307308	0.6356356356356356	0.22922922922922923	0.2872872872872873	0.45045045045045046	1.0	0.44544544544544545	0.043043043043043044	0.11611611611611612	0.37537537537537535	0.4594594594594595	0.023023023023023025	0.5735735735735735	0.11511511511511512	0.5235235235235235
Gemmiger	0.3993993993993994	0.12012012012012012	0.5045045045045045	0.5005005005005005	0.44144144144144143	0.12212212212212212	0.34634634634634637	0.17017017017017017	0.3353353353353353	0.08808808808808809	0.44544544544544545	1.0	0.1891891891891892	0.5935935935935935	0.36736736736736736	0.01001001001001001	0.23923923923923923	0.021021021021021023	0.4954954954954955	0.3203203203203203
Dialister	0.18218218218218218	0.6176176176176176	0.24624624624624625	0.24624624624624625	0.21521521521521522	0.24124124124124124	0.6086086086086087	0.14914914914914915	0.2912912912912913	0.24424424424424424	0.043043043043043044	0.1891891891891892	1.0	0.15415415415415415	0.5805805805805806	0.26426426426426425	0.014014014014014014	0.07907907907907907	0.5185185185185185	0.0
Clostridium_IV	0.13813813813813813	0.47347347347347346	0.22022022022022023	0.024024024024024024	0.3153153153153153	0.07507507507507508	0.5645645645645646	0.11611611611611612	0.062062062062062065	0.03903903903903904	0.11611611611611612	0.5935935935935935	0.15415415415415415	1.0	0.3683683683683684	0.3003003003003003	0.2132132132132132	0.23223223223223224	0.5535535535535535	0.5305305305305306
Lachnospiracea_incertae_sedis	0.006006006006006006	0.2722722722722723	0.025025025025025027	0.25325325325325326	0.01701701701701702	0.33233233233233234	0.16916916916916916	0.6126126126126126	0.24324324324324326	0.44544544544544545	0.37537537537537535	0.36736736736736736	0.5805805805805806	0.3683683683683684	1.0	0.3743743743743744	0.5045045045045045	0.16516516516516516	0.006006006006006006	0.03203203203203203
Clostridium_XVIII	0.45145145145145144	0.12712712712712712	0.1881881881881882	0.3683683683683684	0.32932932932932935	0.2682682682682683	0.2222222222222222	0.5675675675675675	0.44344344344344344	0.3983983983983984	0.4594594594594595	0.01001001001001001	0.26426426426426425	0.3003003003003003	0.3743743743743744	1.0	0.2092092092092092	0.1111111111111111	0.42742742742742745	0.2832832832832833
Coprococcus	0.33133133133133136	0.4004004004004004	0.2652652652652653	0.48848848848848847	0.3563563563563564	0.11811811811811812	0.46546546546546547	0.42842842842842843	0.22122122122122123	0.24724724724724725	0.023023023023023025	0.23923923923923923	0.014014014014014014	0.2132132132132132	0.5045045045045045	0.2092092092092092	1.0	0.0970970970970971	0.4824824824824825	0.004004004004004004
Phascolarctobacterium	0.12612612612612611	0.27627627627627627	0.23323323323323322	0.48148148148148145	0.12512512512512514	0.27427427427427425	0.34534534534534533	0.24424424424424424	0.28128128128128127	0.20520520520520522	0.5735735735735735	0.021021021021021023	0.07907907907907907	0.23223223223223224	0.16516516516516516	0.1111111111111111	0.0970970970970971	1.0	0.3253253253253253	0.3133133133133133
Anaerostipes	0.018018018018018018	0.24824824824824826	0.02702702702702703	0.2072072072072072	0.007007007007007007	0.3663663663663664	0.14514514514514515	0.23023023023023023	0.32932932932932935	0.3013013013013013	0.11511511511511512	0.4954954954954955	0.5185185185185185	0.5535535535535535	0.006006006006006006	0.42742742742742745	0.4824824824824825	0.3253253253253253	1.0	0.21521521521521522
Acinetobacter	0.2722722722722723	0.004004004004004004	0.09309309309309309	0.1931931931931932	0.34534534534534533	0.07007007007007007	0.04904904904904905	0.03303303303303303	0.18518518518518517	0.07807807807807808	0.5235235235235235	0.3203203203203203	0.0	0.5305305305305306	0.03203203203203203	0.2832832832832833	0.004004004004004004	0.3133133133133133	0.21521521521521522	1.0
