#OTU ID	10317.000038253	10317.000037551	10317.000038072	10317.000038115	10317.000038303	10317.000039843	10317.000038039	10317.000003009	10317.000038191	10317.000039629
Bacteroides	1229	1327	2399	5778	3775	3576	7086	3504	3187	1734
Faecalibacterium	464	1295	497	152	658	778	234	1756	972	605
Prevotella	700	56	1388	8	0	56	0	0	0	16
Roseburia	179	226	96	8	393	97	266	813	812	630
Parabacteroides	407	48	433	216	72	56	177	105	167	376
Alistipes	317	64	200	192	112	446	8	308	398	351
Blautia	154	291	385	939	425	97	129	211	151	188
Akkermansia	97	210	617	0	72	0	0	16	0	90
Ruminococcus	415	48	0	8	152	129	56	260	135	286
Oscillibacter	130	137	72	16	8	64	104	73	342	720
Clostridium_XlVa	48	218	96	208	16	1321	169	260	127	57
Gemmiger	40	218	0	8	152	40	40	243	175	49
Dialister	8	16	0	24	96	72	710	0	63	0
Clostridium_IV	8	259	16	0	24	0	0	8	7	212
Lachnospiracea_incertae_sedis	97	80	144	56	16	0	24	24	15	16
Clostridium_XVIII	8	64	136	80	80	24	8	8	15	24
Coprococcus	325	64	32	48	128	89	0	162	55	24
Phascolarctobacterium	0	194	0	0	0	0	0	8	0	106
Anaerostipes	24	32	24	16	104	8	16	16	7	49
Acinetobacter	0	0	0	0	0	0	0	0	0	0
