#OTU ID,Bacteroides,Faecalibacterium,Prevotella,Roseburia,Parabacteroides,Alistipes,Blautia,Akkermansia,Ruminococcus,Oscillibacter,Clostridium_XlVa,Gemmiger,Dialister,Clostridium_IV,Lachnospiracea_incertae_sedis,Clostridium_XVIII,Coprococcus,Phascolarctobacterium,Anaerostipes,Acinetobacter
Bacteroides,0.0,0.0,0.0,0.0,0.9563017515109994,0.1254231886968875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9783500670112688,0.0,0.0,0.07536086384826432,0.0,0.0
Faecalibacterium,0.0,0.0,0.0,0.11913154397389797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9881384474520899
Prevotella,0.0,0.0,0.0,0.0,0.9741782719922745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roseburia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parabacteroides,0.9376421549436531,0.0,0.9599379957919456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960420839624804,0.0
Alistipes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7677177762953915
Blautia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akkermansia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruminococcus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019166172214508826
Oscillibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12529115503313595
Clostridium_XlVa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemmiger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dialister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9697069905785072
Clostridium_IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lachnospiracea_incertae_sedis,0.9701346781981688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9525129049876935,0.33413003012198733
Clostridium_XVIII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382222447723059,0.0,0.0,0.0,0.0,0.296760689505035,0.0,0.0,0.0,0.0,0.0
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.5606716230985131,0.4188654379770123,0.3208398817398379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965287088402603
Phascolarctobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerostipes,0.0,0.0,0.0,0.0,0.9692991171401324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9460199651260163,0.0,0.0,0.0,0.0,0.0
Acinetobacter,0.0,0.9980722900588539,0.0,0.009649851521513661,0.0,0.22975097033993824,0.0,0.0,0.2156012711711066,0.3368714271552783,0.0,0.0,0.9704880067079957,0.44018428745387206,0.0,0.07389510486585985,0.9551004315923933,0.0,0.0,0.0
